theta,rho,beta_min,n,p,k,sigma,lambda_factor,average_mse,average_tpr,average_fdp,exact_support_recovery_rate,unsigned_support_recovery_rate,lambda_used,n_reps
30.58133686476559,0.3,1.0,210,1000,40,1.0,1.0,0.02314170561129088,0.7805250000000002,0.4902868635183934,0.0,0.0,0.5129839978561342,1000
58.978292524905065,0.3,0.5,1620,1000,40,1.0,1.0,0.0015280957583159278,1.0,0.0005365853658536587,0.978,0.978,0.18469534847434554,1000
30.58133686476559,0.3,1.0,210,1000,40,1.0,1.0,0.022889092420550598,0.7844750000000004,0.48768315835838927,0.0,0.0,0.5129839978561342,1000
34.950099274017816,0.3,1.0,240,1000,40,1.0,1.0,0.019125774451222193,0.8850000000000001,0.4154755237183344,0.0,0.0,0.47985259121880813,1000
60.07048312721812,0.3,0.5,1650,1000,40,1.0,1.0,0.0015009901543957902,1.0,0.0004634146341463416,0.981,0.981,0.18300859763187663,1000
34.950099274017816,0.3,1.0,240,1000,40,1.0,1.0,0.019469581916915835,0.8773999999999998,0.4204784536950304,0.0,0.0,0.47985259121880813,1000
34.950099274017816,0.3,1.0,240,1000,40,1.0,1.0,0.01928270883545573,0.8818249999999993,0.4175770174421063,0.0,0.0,0.47985259121880813,1000
39.31886168327004,0.3,1.0,270,1000,40,1.0,1.0,0.016037235797173473,0.9447500000000033,0.34989864820764455,0.0,0.0,0.45240936162767414,1000
39.31886168327004,0.3,1.0,270,1000,40,1.0,1.0,0.016007352725967105,0.943075000000004,0.3488314109593153,0.0,0.0,0.45240936162767414,1000
39.31886168327004,0.3,1.0,270,1000,40,1.0,1.0,0.016006020952159212,0.9456000000000034,0.34764182298020924,0.0,0.0,0.45240936162767414,1000
43.68762409252227,0.3,1.0,300,1000,40,1.0,1.0,0.013381030263486653,0.9780500000000056,0.28574681133834456,0.0,0.0,0.4291932052578694,1000
43.68762409252227,0.3,1.0,300,1000,40,1.0,1.0,0.013287761838217033,0.9771250000000059,0.28403881755392324,0.0,0.0,0.4291932052578694,1000
43.68762409252227,0.3,1.0,300,1000,40,1.0,1.0,0.013342673552414508,0.9788250000000049,0.2863681025939008,0.0,0.0,0.4291932052578694,1000
48.0563865017745,0.3,1.0,330,1000,40,1.0,1.0,0.011273986002870204,0.9917750000000034,0.22740881954086128,0.0,0.0,0.4092196647717832,1000
